c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,suma,sumb,sum
Dubai,25.22999615,55.27997432,Shanghai,31.21645245,121.4365047,Dubai to Shanghai,1,,,,,,,
Porto-Novo,6.483310973,2.616625528,Guangzhou,23.1449813,113.3250101,Porto-Novo to Guangzhou,1,,,,,,,
Pretoria,-25.70692055,28.22942908,Nairobi,-1.283346742,36.81665686,Pretoria to Nairobi,1,,,,,,,
Amsterdam,52.34996869,4.916640176,"Washington, D.C.",38.89954938,-77.00941858,"Amsterdam to Washington, D.C.",1,,,,,,,
Dubai,25.22999615,55.27997432,Kuala Lumpur,3.166665872,101.6999833,Dubai to Kuala Lumpur,1,,,,,,,
Hong Kong,22.3049809,114.1850093,Fuzhou,26.07999595,119.3000459,Hong Kong to Fuzhou,1,,,,,,,
Seoul,37.5663491,126.999731,Shenyang,41.80497927,123.4499735,Seoul to Shenyang,1,,,,,,,
Abu Dhabi,24.46668357,54.36659338,Beijing,39.92889223,116.3882857,Abu Dhabi to Beijing,1,,,,,,,
Lagos,6.443261653,3.391531071,Kuala Lumpur,3.166665872,101.6999833,Lagos to Kuala Lumpur,1,,,,,,,
Addis Ababa,9.033310363,38.70000443,Lusaka,-15.41664427,28.28332759,Addis Ababa to Lusaka,1,,,,,,,
Dubai,25.22999615,55.27997432,Singapore,1.293033466,103.8558207,Dubai to Singapore,1,,,,,,,
Seoul,37.5663491,126.999731,Siem Reap,13.36663759,103.8500329,Seoul to Siem Reap,1,,,,,,,
Hong Kong,22.3049809,114.1850093,Jinan,36.67498232,116.9950187,Hong Kong to Jinan,1,,,,,,,
Addis Ababa,9.033310363,38.70000443,Abuja,9.083333149,7.533328002,Addis Ababa to Abuja,1,,,,,,,
Doha,25.28655601,51.53296789,Guangzhou,23.1449813,113.3250101,Doha to Guangzhou,1,,,,,,,
Kigali,-1.953590069,30.06053178,Beijing,39.92889223,116.3882857,Kigali to Beijing,1,,,,,,,
Nairobi,-1.283346742,36.81665686,Mogadishu,2.066681334,45.36667761,Nairobi to Mogadishu,1,,,,,,,
Johannesburg,-26.17004474,28.03000972,Perth,-31.95501463,115.8399987,Johannesburg to Perth,1,,,,,,,
Dubai,25.22999615,55.27997432,Hanoi,21.03332725,105.8500142,Dubai to Hanoi,1,,,,,,,
London,51.49999473,-0.116721844,Istanbul,41.10499615,29.01000159,London to Istanbul,1,,,,,,,
Johannesburg,-26.17004474,28.03000972,Hanoi,21.03332725,105.8500142,Johannesburg to Hanoi,1,,,,,,,
Zurich,47.37998781,8.55001013,Beijing,39.92889223,116.3882857,Zurich to Beijing,1,,,,,,,
Nairobi,-1.283346742,36.81665686,London,51.49999473,-0.116721844,Nairobi to London,1,,,,,,,
London,51.49999473,-0.116721844,Hannover,52.36697023,9.716657266,London to Hannover,1,,,,,,,
Abu Dhabi,24.46668357,54.36659338,Jakarta,-6.174417705,106.8294376,Abu Dhabi to Jakarta,1,,,,,,,
Bangkok,13.74999921,100.5166447,Beijing,39.92889223,116.3882857,Bangkok to Beijing,1,,,,,,,
Singapore,1.293033466,103.8558207,Vientiane,17.96669273,102.59998,Singapore to Vientiane,1,,,,,,,
Siem Reap,13.36663759,103.8500329,Hanoi,21.03332725,105.8500142,Siem Reap to Hanoi,1,,,,,,,
Hong Kong,22.3049809,114.1850093,Seoul,37.5663491,126.999731,Hong Kong to Seoul,1,,,,,,,
Perth,-31.95501463,115.8399987,Kuala Lumpur,3.166665872,101.6999833,Perth to Kuala Lumpur,1,,,,,,,
Istanbul,41.10499615,29.01000159,Singapore,1.293033466,103.8558207,Istanbul to Singapore,1,,,,,,,
Hong Kong,22.3049809,114.1850093,Kuala Lumpur,3.166665872,101.6999833,Hong Kong to Kuala Lumpur,1,,,,,,,
Seoul,37.5663491,126.999731,Phnom Penh,11.55003013,104.9166345,Seoul to Phnom Penh,1,,,,,,,
