ID,Date ,Database,Seizure Country,Seizure City,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Seizure Location,Year,Date ,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Seizure Country,Seizure City
15,2/1/2010,Birds,Cameroon,Douala,Cameroon,Douala,,,,,Ethiopia,Addis Ababa,,,,,,,Kuwait,Kuwait City,Bahrain,Manama,,,Origin City1,2010,1-Feb-10,Cameroon,Douala,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Cameroon,Douala
16,4/27/2010,Birds,Bulgaria,Sofia,Lebanon,Beirut,,,,,,,,,,,,,Bulgaria,Sofia,,,,,Destination City1,2010,27-Apr-10,Lebanon,Beirut,0,0,0,0,,0,0,0,0,0,0,0,Bulgaria,Sofia,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Bulgaria,Sofia
17,5/3/2010,Birds,United Kingdom,Birmingham,United Kingdom,Birmingham,,,,,,,,,,,,,UAE,Dubai,,,,,Origin City1,2010,3-May-10,United Kingdom,Birmingham,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,United Kingdom,Birmingham
18,5/9/2010,Birds,French Guiana,Cayenne,French Guiana,Cayenne,,,,,,,,,,,,,,,,,,,Origin City1,2010,9-May-10,French Guiana,Cayenne,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,French Guiana,Cayenne
19,6/7/2010,Birds,USA,Miami,Cuba,,,,,,,,,,,,,,USA,Miami,,,,,Destination City1,2010,7-Jun-10,Cuba,0,0,0,0,0,,0,0,0,0,0,0,0,USA,Miami,SEIZURE,SEIZURE,SEIZURE,SEIZURE,USA,Miami
20,7/2/2010,Birds,Bangladesh,Dhaka,India,,,,,,Bangladesh,Dhaka,,,,,,,Pakistan,,,,,,Transit City1,2010,2-Jul-10,India,0,0,0,0,0,Bangladesh,Dhaka,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Bangladesh,Dhaka
21,8/20/2010,Birds,Australia,Perth,,,,,,,,,,,,,,,Australia,Perth,,,,,Destination City1,2010,20-Aug-10,,0,0,0,0,0,,0,0,0,0,0,0,0,Australia,Perth,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Australia,Perth
22,8/11/2010,Birds,Switzerland,Zurich,Brazil,Sao Paulo,,,,,,,,,,,,,Switzerland,Zurich,,,,,Destination City1,2010,11-Aug-10,Brazil,Sao Paulo,0,0,0,0,,0,0,0,0,0,0,0,Switzerland,Zurich,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Switzerland,Zurich
23,9/22/2010,Birds,Serbia,Belgrade,,,,,,,UAE,,,,,,,,,,,,,,#N/A,2010,22-Sep-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,9/28/2010,Birds,DR Congo,Bukavu,DR Congo,Bukavu,,,,,,,,,,,,,Singapore,,,,,,Origin City1,2010,28-Sep-10,DR Congo,Bukavu,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,DR Congo,Bukavu
25,9/28/2010,Birds,Pakistan,Karachi,Pakistan,Karachi,,,,,,,,,,,,,Oman,Muscat,,,,,Origin City1,2010,28-Sep-10,Pakistan,Karachi,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Pakistan,Karachi
26,10/5/2010,Birds,Russia,Moscow,Russia,Moscow,,,,,,,,,,,,,UAE,Dubai,,,,,Origin City1,2010,5-Oct-10,Russia,Moscow,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Russia,Moscow
27,11/6/2010,Birds,Brazil,Brasilia,Brazil,Brasilia,,,,,,,,,,,,,Brazil,Fortaleza,,,,,Origin City1,2010,6-Nov-10,Brazil,Brasilia,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Brazil,Brasilia
28,11/22/2010,Birds,Russia,Moscow,,,,,,,Russia,Moscow,,,,,,,Syria,Damascus,,,,,Transit City1,2010,22-Nov-10,,0,0,0,0,0,Russia,Moscow,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Russia,Moscow
29,12/3/2010,Birds,Russia,Petropavlovsk Kamchatskiy,Russia,Petropavlovsk Kamchatskiy,,,,,,,,,,,,,Russia,Moscow,,,,,Origin City1,2010,3-Dec-10,Russia,Petropavlovsk Kamchatskiy,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Russia,Petropavlovsk Kamchatskiy
30,12/7/2010,Birds,Nepal,Kathmandu,Nepal,Kathmandu,,,,,,,,,,,,,Qatar,Doha,,,,,Origin City1,2010,7-Dec-10,Nepal,Kathmandu,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Nepal,Kathmandu
31,1/1/2011,Birds,UAE,Dubai,Kazakhstan,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Jan-11,Kazakhstan,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
32,1/1/2011,Birds,UAE,Dubai,Kuwait,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Jan-11,Kuwait,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
33,1/3/2011,Birds,Brazil,Belem,Brazil,Rio de Janeiro,,,,,,,,,,,,,Brazil,Belem,,,,,Destination City1,2011,3-Jan-11,Brazil,Rio de Janeiro,0,0,0,0,,0,0,0,0,0,0,0,Brazil,Belem,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Brazil,Belem
34,1/1/2011,Birds,Indonesia,Jakarta,Indonesia,Jakarta,,,,,,,,,,,,,Bahrain,,,,,,Origin City1,2011,1-Jan-11,Indonesia,Jakarta,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Indonesia,Jakarta
35,1/7/2011,Birds,Indonesia,Jakarta,Indonesia,Jakarta,,,,,,,,,,,,,Netherlands,,,,,,Origin City1,2011,7-Jan-11,Indonesia,Jakarta,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Indonesia,Jakarta
36,1/13/2011,Birds,Indonesia,Jakarta,Indonesia,Jakarta,,,,,,,,,,,,,Saudi Arabia,,,,,,Origin City1,2011,13-Jan-11,Indonesia,Jakarta,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Indonesia,Jakarta
37,1/19/2011,Birds,Israel,Tel Aviv,Belgium,Brussels,,,,,,,,,,,,,Israel,Tel Aviv,,,,,Destination City1,2011,19-Jan-11,Belgium,Brussels,0,0,0,0,,0,0,0,0,0,0,0,Israel,Tel Aviv,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Israel,Tel Aviv
38,1/31/2011,Birds,Indonesia,Jakarta,Indonesia,Jakarta,,,,,,,,,,,,,,,,,,,Origin City1,2011,31-Jan-11,Indonesia,Jakarta,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Indonesia,Jakarta
39,2/11/2011,Birds,Thailand,Bangkok,Thailand,Bangkok,,,,,,,,,,,,,,,,,,,Origin City1,2011,11-Feb-11,Thailand,Bangkok,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Thailand,Bangkok
40,4/1/2011,Birds,Austria,Vienna,Jamaica,,,,,,Austria,Vienna,,,,,,,Slovakia,,,,,,Transit City1,2011,1-Apr-11,Jamaica,0,0,0,0,0,Austria,Vienna,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Austria,Vienna
41,4/17/2011,Birds,Brazil,Recife,Brazil,Brasilia,,,,,,,,,,,,,Brazil,Recife,,,,,Destination City1,2011,17-Apr-11,Brazil,Brasilia,0,0,0,0,,0,0,0,0,0,0,0,Brazil,Recife,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Brazil,Recife
42,6/1/2011,Birds,UAE,Dubai,Jordan,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Jun-11,Jordan,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
43,6/24/2011,Birds,Brazil,Manaus,Venezuela,,,,,,Brazil,Boa Vista,Brazil,Sao Paulo,,,,,Brazil,Manaus,,,,,Destination City1,2011,24-Jun-11,Venezuela,0,0,0,0,0,Brazil,Boa Vista,Brazil,Sao Paulo,0,0,0,0,Brazil,Manaus,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Brazil,Manaus
44,8/1/2011,Birds,UAE,Dubai,Belgium,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Aug-11,Belgium,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
45,8/1/2011,Birds,UAE,Dubai,Belgium,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Aug-11,Belgium,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
46,8/22/2011,Birds,Brazil,Fortaleza,Brazil,Manaus,,,,,,,,,,,,,Brazil,Fortaleza,,,,,Destination City1,2011,22-Aug-11,Brazil,Manaus,0,0,0,0,,0,0,0,0,0,0,0,Brazil,Fortaleza,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Brazil,Fortaleza
47,8/24/2011,Birds,USA,Los Angeles,USA,Los Angeles,,,,,,,,,,,,,China,Guangzhou,,,,,Origin City1,2011,24-Aug-11,USA,Los Angeles,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,USA,Los Angeles
48,9/1/2011,Birds,Guyana,Georgetown,Guyana,Georgetown,,,,,,,,,,,,,,,,,,,Origin City1,2011,1-Sep-11,Guyana,Georgetown,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Guyana,Georgetown
49,9/28/2011,Birds,Brazil,Brasilia,Brazil,,,,,,,,,,,,,,,,,,,,#N/A,2011,28-Sep-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
